image,first_name,last_name,gender,birthdate,national_id,issue_date,expiration_date,address,governorate,job_title,religion,marital_status
0,كيرلس,مرقس إلياس تادرس سامي ,ذكر,١٩٨٥/٠٨/٢٨,٢٨٥٠٨٢٨٦٨٢٤٠٦٤,٢٠٢٠/٠٩,٢٠٢٧/٠٨/٣١,شارع الجمهورية,جنوب سيناء,موظف حكومي,مسيحي,أرمل
1,آلاء,وليد مؤيد زياد أيهم ,أنثى,١٩٩٩/٠٣/٠٥,٢٩٩٠٣٠٥٥٢٩٥٨٢٣,٢٠١٩/٠١,٢٠٢٦/٠٠/٣١,شارع الجمهورية,الجيزة,طبيبة,مسلمة,متزوجة
2,فادي,شادي خليل أنطونيوس رافت ,ذكر,١٩٨٩/٠٧/٢٩,٢٨٩٠٧٢٩١٨٧٧٨٣٩,٢٠٢٢/٠٨,٢٠٢٩/٠٧/٣١,شارع الجمهورية,الإسماعيلية,كهربائي,مسيحي,متزوج
3,مريم,عماد سمير سمير كيرلس ,أنثى,١٩٦٤/٠٦/٢٠,٢٦٤٠٦٢٠٥٢٧٥٠٥١,٢٠٢٠/١١,٢٠٢٧/١٠/٣١,شارع الجمهورية,بني سويف,أستاذة جامعية,مسيحية,عزباء
4,داليا,جلال مالك مينا جرجس ,أنثى,١٩٩٦/٠٣/١٣,٢٩٦٠٣١٣٢٩٢٧٧١٧,٢٠١٩/٠٦,٢٠٢٦/٠٥/٣١,شارع الجمهورية,أسوان,بدون عمل,مسيحية,عزباء
5,أكرم,عدي محمد زياد هشام ,ذكر,١٩٩٣/١١/٠٩,٢٩٣١١٠٩٨٤٢١٩٥٦,٢٠٢١/٠٣,٢٠٢٨/٠٢/٣١,شارع الجمهورية,الأقصر,سائق,مسلم,أرمل
6,زهراء,مراد عصام ياسر علاء ,أنثى,١٩٦٩/٠٥/١٢,٢٦٩٠٥١٢٣١٦٨٨٦١,٢٠٢٣/٠٤,٢٠٣٠/٠٣/٣١,شارع الجمهورية,البحر الأحمر,مدرسة,مسلمة,أرملة
7,محمد,منصور عادل رجب أمجد ,ذكر,١٩٧٩/١٠/٠٩,٢٧٩١٠٠٩١٤٦٨٣٢٣,٢٠١٦/١١,٢٠٢٣/١٠/٣١,شارع الجمهورية,سوهاج,حداد,مسلم,أرمل
8,روان,حمزة عمر حسين أيمن ,أنثى,٢٠٠٧/١٢/٠٤,٣٠٧١٢٠٤٥٦٣١١٩٧,٢٠٢٣/١١,٢٠٣٠/١٠/٣١,شارع الجمهورية,الإسماعيلية,بدون عمل,مسلمة,متزوجة
9,زياد,حمزة فارس رؤوف نواف ,ذكر,١٩٩٥/٠١/١٨,٢٩٥٠١١٨٨٨٢٣٩٢١,٢٠٢٣/١١,٢٠٣٠/١٠/٣١,شارع الجمهورية,الدقهلية,مزارع,مسلم,متزوج
